borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,no_of_school,no_of_hospital,no_of_restaurant,no_of_bank,criminal_rate,population_2020
Staten Island,Concord,40.6044731897,-74.0840236474,,,,0,0,1,0, 824,8316
Bronx,Concourse,40.8342838073,-73.9155894177,,,,27,1,25,3, 7832,34693
Bronx,Concourse Village,40.8247804908,-73.9158465276,,,,23,0,20,3, 7720,34693
Brooklyn,Coney Island,40.5742925647,-73.9886829582,,,,19,1,50,5, 2237,24758
Queens,Corona,40.7423817502,-73.8568249735,,,,33,1,50,8, 2743,73822
Bronx,Country Club,40.8442459369,-73.8240992675,,,,27,1,50,4, 859,9820
Bronx,Crotona Park East,40.83656,-73.893348,,,,14,0,13,0, 5132,30158
Brooklyn,Crown Heights,40.670829177,-73.9432911907,,,,50,5,50,4, 4006,118623
Brooklyn,Cypress Hills,40.6823910114,-73.8766159646,,,,34,1,50,3, 2474,43256
Brooklyn,Ditmas Park,40.6436751833,-73.9610131247,,,,7,0,2,1, 3891,21508
Staten Island,Dongan Hills,40.5886729482,-74.0963990531,,,,11,0,39,7, 580,9064
Queens,Douglaston,40.7668460979,-73.7424982073,,,,3,0,11,0, 175,12631
Brooklyn,Downtown,40.6908440211,-73.9834633743,,,,4,0,13,1, 6117,20484
Brooklyn,Dumbo,40.7031763282,-73.9887528075,,,,9,0,6,0, 1730,20484
Brooklyn,Dyker Heights,40.6192194577,-74.0193137564,,,,33,5,32,4, 1167,46756
Queens,East Elmhurst,40.7640732388,-73.8670414766,,,,22,0,50,1, 1503,33573
Brooklyn,East Flatbush,40.6417177667,-73.9361025619,,,,37,2,44,5, 1807,99101
Manhattan,East Harlem,40.7922494666,-73.9441822315,,,,50,38,50,20, 8068,124469
Brooklyn,East New York,40.6699257008,-73.8806986392,,,,30,0,45,0, 4232,118401
Bronx,East Tremont,40.8426961579,-73.8873561753,,,,50,1,50,5, 4981,34453
Manhattan,East Village,40.7278467773,-73.9822261651,,,,37,25,44,26, 7624,71436
Brooklyn,East Williamsburg,40.7084924104,-73.9388581527,,,,47,4,41,7, 3614,52998
Bronx,Eastchester,40.8875556774,-73.8278064472,,,,6,1,44,1, 905,17245
Bronx,Edenwald,40.884561303,-73.8480827188,,,,18,0,26,0, 3025,17245
Queens,Edgemere,40.5956418074,-73.7761328239,,,,11,1,10,0, 1029,13789
Bronx,Edgewater Park,40.8219861182,-73.8138851443,,,,1,0,9,0, 793,8930
Staten Island,Egbertville,40.579118743,-74.127272406,,,,0,0,8,0, 138,15721
Staten Island,Elm Park,40.6301467412,-74.1418167897,,,,0,0,0,0, 1411,18037
Queens,Elmhurst,40.7440485051,-73.8816562229,,,,22,0,20,9, 4456,107864
Staten Island,Eltingville,40.5422307475,-74.1643308042,,,,13,0,32,2, 296,27349
Staten Island,Emerson Hill,40.6067943948,-74.0977620697,,,,0,0,3,0, 325,8205
Brooklyn,Erasmus,40.6469260666,-73.9481770992,,,,23,0,22,2, 4161,23845
Queens,Far Rockaway,40.6031344325,-73.7549796804,,,,42,4,50,5, 2529,29324
Bronx,Fieldston,40.8954374269,-73.9056425959,,,,39,1,50,2, 465,22422
Manhattan,Financial District,40.7071071073,-74.0106654452,,,,19,5,20,18, 3854,26496
Brooklyn,Flatbush,40.6363258903,-73.9584010653,,,,50,4,50,15, 2874,44995
Manhattan,Flatiron,40.7396730476,-73.9909471053,,,,7,3,2,4, 8867,16607
Brooklyn,Flatlands,40.6304460438,-73.9291130264,,,,17,2,44,7, 1753,67087
Queens,Floral Park,40.7413784219,-73.7088470589,,,,7,0,28,3, 443,11682
Queens,Flushing,40.764454197,-73.8317730033,,,,50,8,50,50, 3102,69879
Bronx,Fordham,40.8609967964,-73.8964265598,,,,35,9,34,16, 8272,23269
Queens,Forest Hills,40.7252637822,-73.8444750079,,,,50,9,50,28, 1780,88965
Queens,Forest Hills Gardens,40.7146110815,-73.8410221123,,,,35,0,25,6, 1360,73034
Brooklyn,Fort Greene,40.6885272602,-73.9729057437,,,,43,9,42,25, 4865,32938
Brooklyn,Fort Hamilton,40.6147681269,-74.0319791454,,,,17,3,23,3, 1033,775
Staten Island,Fox Hills,40.6173107925,-74.0817399221,,,,0,0,0,0, 1610,6342
Bronx,Foxhurst,40.825558,-73.892691,,,,14,0,13,0, 5812,48780
Queens,Fresh Meadows,40.7343944653,-73.78271337,,,,25,3,50,8, 572,23434
Brooklyn,Fulton Ferry,40.7032810909,-73.9955075189,,,,24,0,30,17, 1518,12367
Manhattan,Garment District,40.753735,-73.990759,,,,1,0,2,4, 13024,4769
Brooklyn,Georgetown,40.6238452448,-73.9160748395,,,,22,0,38,9, 1051,93534
Brooklyn,Gerritsen Beach,40.5908484339,-73.9301017069,,,,15,0,35,1, 799,23028
Queens,Glen Oaks,40.7494407997,-73.71548119,,,,18,12,46,6, 401,11682
Queens,Glendale,40.7027624297,-73.8707416744,,,,12,0,50,6, 575,35135
Brooklyn,Gowanus,40.6739311432,-73.9944408715,,,,23,0,29,17, 1749,14791
Manhattan,Gramercy,40.7372098327,-73.9813759483,,,,33,9,28,41, 6467,28628
Staten Island,Graniteville,40.6201715122,-74.1531524639,,,,10,1,22,2, 1013,11164
Staten Island,Grant City,40.5762155871,-74.1058559855,,,,3,0,10,0, 734,53877
Staten Island,Grasmere,40.5982683596,-74.0766743628,,,,5,0,25,6, 661,9064
Brooklyn,Gravesend,40.5952600131,-73.9734708771,,,,34,0,50,10, 1172,117297
Staten Island,Great Kills,40.5494802287,-74.1493238149,,,,23,0,50,4, 336,27921
Brooklyn,Greenpoint,40.7302009849,-73.9542409313,,,,46,2,50,11, 1523,38980
Staten Island,Greenridge,40.5552952362,-74.1707941479,,,,9,0,28,0, 365,8847
Manhattan,Greenwich Village,40.7269328854,-73.9999140295,,,,48,2,43,44, 7627,34147
Brooklyn,Greenwood Heights,40.657649,-73.997425,,,,42,0,45,2, 1267,5
Staten Island,Grymes Hill,40.6241847913,-74.0872481998,,,,23,0,16,2, 1080,12337
Manhattan,Hamilton Heights,40.8236042848,-73.9496879188,,,,50,4,50,18, 6734,49410
Queens,Hammels,40.5873377402,-73.8055300297,,,,4,0,17,0, 1026,13000
Staten Island,Heartland Village,40.5891389488,-74.1590220816,,,,5,0,13,1, 535,89792
Manhattan,Hell's Kitchen,40.762535,-73.993621,,,,0,0,0,0, 8211,59524
