borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,no_of_school,no_of_hospital,no_of_restaurant,no_of_bank,criminal_rate,population_2020
Manhattan,Upper East Side,40.7756385733,-73.9605076314,,,,50,16,50,50, 3808,130246
Manhattan,Upper West Side,40.7876579985,-73.9770592363,,,,50,4,50,24, 3337,101767
Queens,Utopia,40.7335002543,-73.7967167803,,,,27,6,20,3, 620,5069
Bronx,Van Cortlandt Village,40.883644,-73.894275,,,,9,0,7,0, 1758,17888
Bronx,Van Nest,40.8436084712,-73.8662991808,,,,15,1,31,2, 2453,15245
Brooklyn,Vinegar Hill,40.7033214988,-73.9811160359,,,,20,0,17,0, 1734,63378
Bronx,Wakefield,40.8947051766,-73.8472005205,,,,24,1,50,7, 2675,47657
Manhattan,Washington Heights,40.8519025256,-73.9369002799,,,,50,2,50,16, 4464,143879
Brooklyn,Weeksville,40.675039865,-73.9305310882,,,,36,3,29,5, 5263,45364
Staten Island,West Brighton,40.6318789265,-74.1071817827,,,,20,7,50,10, 681,12337
Bronx,West Farms,40.8394750567,-73.8777447491,,,,28,0,26,0, 4474,22147
Manhattan,West Village,40.7344339357,-74.0061799813,,,,15,1,13,2, 4905,35011
Bronx,Westchester Square,40.8406194964,-73.842194076,,,,28,9,38,2, 1493,17376
Staten Island,Westerleigh,40.6210904728,-74.1330414395,,,,7,0,25,9, 515,15729
Queens,Whitestone,40.781290766,-73.8142021661,,,,25,0,50,10, 450,28408
Bronx,Williamsbridge,40.8810388782,-73.8574464297,,,,48,2,50,2, 3706,30673
Brooklyn,Williamsburg,40.7071443934,-73.9581152922,,,,50,1,50,23, 2999,64444
Staten Island,Willowbrook,40.6037069263,-74.1320844748,,,,13,2,20,0, 348,10717
Brooklyn,Windsor Terrace,40.6569458358,-73.9800734043,,,,49,0,46,0, 702,11811
Brooklyn,Wingate,40.6609465619,-73.9371868056,,,,34,7,42,3, 3793,24756
Queens,Woodhaven,40.6898868792,-73.8581104655,,,,35,1,50,6, 1781,41948
Bronx,Woodlawn,40.8982726121,-73.8673149681,,,,9,5,45,8, 1023,15716
Staten Island,Woodrow,40.5419676229,-74.2052458248,,,,5,0,11,2, 262,10133
Queens,Woodside,40.7463490886,-73.9018416684,,,,50,2,50,19, 2558,53188
Bronx,Woodstock,40.817445,73.903243,,,,1,0,6,0, 6120,10729
Manhattan,Yorkville,40.7759298499,-73.9471178447,,,,40,6,15,10, 3796,42023
